14,100558150,53,5
15,3417402628,80,5
15,3417402628,79,5
15,3417402628,443,5
15,3417402628,443,5
15,3417402628,443,5
15,3417402628,80,5
16,3417402628,79,5
16,3417402628,443,5
16,3417402628,80,5
19,3735096405,79,10
19,3735096405,443,10
20,3331304885,79,10
20,3331304885,79,10
23,919064807,79,10
23,919064807,443,10
23,919064807,53,10
23,919064807,443,10
0,3344118766,56,10
0,3344118766,80,10
1,3344118766,79,10
1,3344118766,53,10
1,3344118766,80,10
3,1652481762,53,5
5,3662499618,79,10
5,3662499618,79,10
5,1866713897,56,10
5,1866713897,53,10
7,3662499618,56,10
7,3662499618,53,10
10,3093924685,56,5
13,1434745589,80,10
13,1434745589,443,10
13,3417402628,56,5
13,3417402628,56,5
13,3417402628,443,5
13,3417402628,56,5
13,3417402628,53,5
13,3417402628,443,5
14,3417402628,56,5
14,3417402628,80,5
14,3417402628,56,5
14,3417402628,443,5
14,3417402628,80,5
14,3417402628,53,5
15,3417402628,53,5
15,3417402628,56,5
15,3417402628,79,5
15,3417402628,53,5
15,3417402628,56,5
15,3417402628,53,5
15,3417402628,79,5
15,3417402628,53,5
15,3417402628,79,5
15,3417402628,443,5
15,3417402628,80,5
15,3417402628,80,5
15,3417402628,443,5
15,3417402628,53,5
15,3417402628,56,5
15,3417402628,80,5
15,3417402628,56,5
15,3417402628,56,5
15,3417402628,53,5
15,3417402628,80,5
15,3417402628,79,5
15,3417402628,443,5
15,3417402628,443,5
15,3417402628,443,5
15,3417402628,443,5
15,3417402628,79,5
15,3417402628,79,5
15,3417402628,53,5
15,3417402628,443,5
15,3417402628,443,5
15,3417402628,56,5
15,3417402628,53,5
15,3417402628,56,5
15,3417402628,79,5
15,3417402628,56,5
15,3417402628,79,5
16,3323217226,80,10
16,3323217226,80,10
16,3323217226,53,5
16,3707337779,56,10
16,3707337779,56,10
16,3662422862,53,10
16,3662422862,79,10
17,3002702366,80,10
17,3002702366,53,10
17,2026273913,53,10
17,2026273913,53,10
17,2026273913,80,10
17,2026273913,53,10
19,3184413459,80,10
19,3184413459,443,10
19,3184413459,53,10
19,3184413459,53,10
22,1851400143,80,10
22,1851400143,53,10
22,1851400143,79,10
22,1851400143,56,10
22,1851400143,443,10
22,1851400143,443,10
22,1851400143,80,10
22,1851400143,56,10
22,1851400143,443,10
22,1851400143,53,10
22,1851400143,53,10
22,1851400143,80,10
22,1851400143,80,10
22,1851400143,79,10
22,1851400143,80,10
1,3029933171,443,10
1,3029933171,79,10
1,3029933171,53,10
1,3029933171,80,10
2,3662499618,79,10
2,3662499618,56,10
4,1604808429,53,10
4,1604808429,56,10
4,1604808429,79,10
4,1604808429,79,10
10,3093924685,79,5
