Time	Remote IP	Remote Port	Local IP	Local Port	Protocol
13	0	68	3417402645	67	5
13	0	68	3417402645	67	5
14	0	68	3417402645	67	5
14	0	68	3417402645	67	5
14	0	68	3417402645	67	5
14	100558150	54392	3417402645	53	5
14	0	68	3417402645	67	5
14	0	68	3417402645	67	5
14	0	68	3417402645	67	5
15	0	68	3417402645	67	5
15	0	68	3417402645	67	5
15	0	68	3417402645	67	5
15	3417402628	67	3417402645	68	5
15	3417402628	67	3417402645	68	5
15	3417402628	67	3417402645	68	5
15	3417402628	67	3417402645	68	5
15	3417402628	67	3417402645	68	5
15	3417402628	67	3417402645	68	5
15	0	68	3417402645	67	5
15	0	68	3417402645	67	5
15	0	68	3417402645	67	5
16	0	68	3417402645	67	5
16	0	68	3417402645	67	5
16	3417402628	67	3417402645	68	5
16	3417402628	67	3417402645	68	5
16	3417402628	67	3417402645	68	5
16	0	68	3417402645	67	5
16	0	68	3417402645	67	5
16	0	68	3417402645	67	5
16	0	68	3417402645	67	5
17	0	68	3417402645	67	5
17	0	68	3417402645	67	5
17	0	68	3417402645	67	5
17	0	68	3417402645	67	5
17	0	68	3417402645	67	5
17	0	68	3417402645	67	5
18	0	68	3417402645	67	5
18	0	68	3417402645	67	5
18	0	68	3417402645	67	5
18	0	68	3417402645	67	5
18	0	68	3417402645	67	5
18	0	68	3417402645	67	5
18	0	68	3417402645	67	5
19	0	68	3417402645	67	5
19	0	68	3417402645	67	5
19	0	68	3417402645	67	5
19	0	68	3417402645	67	5
19	3735096405	38906	3417402645	80	10
19	3735096405	38906	3417402645	80	10
19	0	68	3417402645	67	5
19	0	68	3417402645	67	5
20	0	68	3417402645	67	5
20	3331304885	46527	3417402645	80	10
20	3331304885	46527	3417402645	80	10
20	0	68	3417402645	67	5
20	0	68	3417402645	67	5
20	0	68	3417402645	67	5
20	0	68	3417402645	67	5
21	0	68	3417402645	67	5
21	0	68	3417402645	67	5
21	0	68	3417402645	67	5
21	0	68	3417402645	67	5
21	0	68	3417402645	67	5
21	0	68	3417402645	67	5
22	0	68	3417402645	67	5
22	0	68	3417402645	67	5
22	0	68	3417402645	67	5
22	0	68	3417402645	67	5
22	0	68	3417402645	67	5
22	0	68	3417402645	67	5
23	0	68	3417402645	67	5
23	0	68	3417402645	67	5
23	0	68	3417402645	67	5
23	0	68	3417402645	67	5
23	0	68	3417402645	67	5
23	919064807	48162	3417402645	80	10
23	919064807	48162	3417402645	80	10
23	919064807	48162	3417402645	80	10
23	919064807	48162	3417402645	80	10
23	0	68	3417402645	67	5
0	0	68	3417402645	67	5
0	3344118766	43154	3417402645	443	10
0	3344118766	43154	3417402645	443	10
0	0	68	3417402645	67	5
0	0	68	3417402645	67	5
0	0	68	3417402645	67	5
0	0	68	3417402645	67	5
0	0	68	3417402645	67	5
1	0	68	3417402645	67	5
1	0	68	3417402645	67	5
1	0	68	3417402645	67	5
1	0	68	3417402645	67	5
1	0	68	3417402645	67	5
1	3344118766	50320	3417402645	443	10
1	3344118766	50320	3417402645	443	10
1	3344118766	50320	3417402645	443	10
1	0	68	3417402645	67	5
1	0	68	3417402645	67	5
2	0	68	3417402645	67	5
2	0	68	3417402645	67	5
2	0	68	3417402645	67	5
2	0	68	3417402645	67	5
2	0	68	3417402645	67	5
2	0	68	3417402645	67	5
3	0	68	3417402645	67	5
3	1652481762	43105	3417402645	53	5
3	0	68	3417402645	67	5
3	0	68	3417402645	67	5
3	0	68	3417402645	67	5
3	0	68	3417402645	67	5
3	0	68	3417402645	67	5
4	0	68	3417402645	67	5
4	0	68	3417402645	67	5
4	0	68	3417402645	67	5
4	0	68	3417402645	67	5
4	0	68	3417402645	67	5
5	0	68	3417402645	67	5
5	0	68	3417402645	67	5
5	0	68	3417402645	67	5
5	0	68	3417402645	67	5
5	3662499618	52582	3417402645	80	10
5	3662499618	52582	3417402645	80	10
5	0	68	3417402645	67	5
5	1866713897	35769	3417402645	80	10
5	1866713897	35769	3417402645	80	10
5	0	68	3417402645	67	5
6	0	68	3417402645	67	5
6	0	68	3417402645	67	5
6	0	68	3417402645	67	5
6	0	68	3417402645	67	5
6	0	68	3417402645	67	5
6	0	68	3417402645	67	5
7	0	68	3417402645	67	5
7	3662499618	36021	3417402645	443	10
7	3662499618	36021	3417402645	443	10
7	0	68	3417402645	67	5
7	0	68	3417402645	67	5
7	0	68	3417402645	67	5
7	0	68	3417402645	67	5
7	0	68	3417402645	67	5
8	0	68	3417402645	67	5
8	0	68	3417402645	67	5
8	0	68	3417402645	67	5
8	0	68	3417402645	67	5
8	0	68	3417402645	67	5
8	0	68	3417402645	67	5
9	0	68	3417402645	67	5
9	0	68	3417402645	67	5
9	0	68	3417402645	67	5
9	0	68	3417402645	67	5
9	0	68	3417402645	67	5
9	0	68	3417402645	67	5
10	0	68	3417402645	67	5
10	0	68	3417402645	67	5
10	0	68	3417402645	67	5
10	0	68	3417402645	67	5
10	0	68	3417402645	67	5
10	3093924685	50930	3417402645	53	5
10	0	68	3417402645	67	5
11	0	68	3417402645	67	5
11	0	68	3417402645	67	5
11	0	68	3417402645	67	5
11	0	68	3417402645	67	5
11	0	68	3417402645	67	5
11	0	68	3417402645	67	5
12	0	68	3417402645	67	5
12	0	68	3417402645	67	5
12	0	68	3417402645	67	5
12	0	68	3417402645	67	5
12	0	68	3417402645	67	5
12	0	68	3417402645	67	5
13	0	68	3417402645	67	5
13	0	68	3417402645	67	5
13	0	68	3417402645	67	5
13	0	68	3417402645	67	5
13	0	68	3417402645	67	5
13	1434745589	54154	3417402645	80	10
13	1434745589	54154	3417402645	80	10
13	0	68	3417402645	67	5
13	3417402628	67	3417402645	68	5
13	3417402628	67	3417402645	68	5
13	3417402628	67	3417402645	68	5
13	3417402628	67	3417402645	68	5
13	3417402628	67	3417402645	68	5
13	3417402628	67	3417402645	68	5
14	0	68	3417402645	67	5
14	0	68	3417402645	67	5
14	0	68	3417402645	67	5
14	0	68	3417402645	67	5
14	3417402628	67	3417402645	68	5
14	3417402628	67	3417402645	68	5
14	3417402628	67	3417402645	68	5
14	3417402628	67	3417402645	68	5
14	3417402628	67	3417402645	68	5
14	3417402628	67	3417402645	68	5
14	0	68	3417402645	67	5
14	0	68	3417402645	67	5
15	0	68	3417402645	67	5
15	3417402628	67	3417402645	68	5
15	3417402628	67	3417402645	68	5
15	3417402628	67	3417402645	68	5
15	3417402628	67	3417402645	68	5
15	3417402628	67	3417402645	68	5
15	3417402628	67	3417402645	68	5
15	0	68	3417402645	67	5
15	3417402628	67	3417402645	68	5
15	3417402628	67	3417402645	68	5
15	3417402628	67	3417402645	68	5
15	3417402628	67	3417402645	68	5
15	3417402628	67	3417402645	68	5
15	3417402628	67	3417402645	68	5
15	3417402628	67	3417402645	68	5
15	3417402628	67	3417402645	68	5
15	3417402628	67	3417402645	68	5
15	3417402628	67	3417402645	68	5
15	3417402628	67	3417402645	68	5
15	3417402628	67	3417402645	68	5
15	0	68	3417402645	67	5
15	3417402628	67	3417402645	68	5
15	3417402628	67	3417402645	68	5
15	3417402628	67	3417402645	68	5
15	3417402628	67	3417402645	68	5
15	3417402628	67	3417402645	68	5
15	3417402628	67	3417402645	68	5
15	3417402628	67	3417402645	68	5
15	3417402628	67	3417402645	68	5
15	3417402628	67	3417402645	68	5
15	3417402628	67	3417402645	68	5
15	3417402628	67	3417402645	68	5
15	3417402628	67	3417402645	68	5
15	3417402628	67	3417402645	68	5
15	3417402628	67	3417402645	68	5
15	3417402628	67	3417402645	68	5
15	3417402628	67	3417402645	68	5
15	3417402628	67	3417402645	68	5
15	3417402628	67	3417402645	68	5
15	0	68	3417402645	67	5
15	0	68	3417402645	67	5
15	0	68	3417402645	67	5
16	0	68	3417402645	67	5
16	0	68	3417402645	67	5
16	0	68	3417402645	67	5
16	3323217226	36619	3417402645	53	10
16	3323217226	36619	3417402645	53	10
16	3323217226	33706	3417402645	53	5
16	0	68	3417402645	67	5
16	0	68	3417402645	67	5
16	0	68	3417402645	67	5
16	3707337779	5701	3417402645	80	10
16	3707337779	5701	3417402645	80	10
16	3662422862	37717	3417402645	443	10
16	3662422862	37717	3417402645	443	10
16	0	68	3417402645	67	5
17	0	68	3417402645	67	5
17	3002702366	33225	3417402645	80	10
17	3002702366	33225	3417402645	80	10
17	0	68	3417402645	67	5
17	0	68	3417402645	67	5
17	0	68	3417402645	67	5
17	2026273913	46694	3417402645	80	10
17	2026273913	46694	3417402645	80	10
17	2026273913	46694	3417402645	80	10
17	2026273913	46694	3417402645	80	10
17	0	68	3417402645	67	5
18	0	68	3417402645	67	5
18	0	68	3417402645	67	5
18	0	68	3417402645	67	5
