12,12,2014-03-05,15:20:2,323,+8:00,0.0.0.0,68,203.177.109.21,67,UDP,RX,010106004AF23C3A0DAD00000000000000000000000000000000000000306E9355020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000063825363350101390205AA370401030417FF00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,300
13,13,2014-03-05,15:22:4,361,+8:00,203.177.109.4,67,203.177.109.21,68,UDP,RX,0201060030130000000080000000000000000000CBB16D040000000012345642490000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501063604CBB16D04381F7265717565737465642061646472657373206E6F7420617661696C61626C6552120106000400030148020800062401C70AA568FF,303
14,14,2014-03-05,15:22:6,375,+8:00,203.177.109.4,67,203.177.109.21,68,UDP,RX,0201060030130000000080000000000000000000CBB16D040000000012345642490000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501063604CBB16D04381F7265717565737465642061646472657373206E6F7420617661696C61626C6552120106000400030148020800062401C70AA568FF,303
15,15,2014-03-05,15:22:8,373,+8:00,203.177.109.4,67,203.177.109.21,68,UDP,RX,0201060030130000000080000000000000000000CBB16D040000000012345642490000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501063604CBB16D04381F7265717565737465642061646472657373206E6F7420617661696C61626C6552120106000400030148020800062401C70AA568FF,303
16,16,2014-03-05,15:22:12,371,+8:00,203.177.109.4,67,203.177.109.21,68,UDP,RX,0201060030130000000080000000000000000000CBB16D040000000012345642490000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501063604CBB16D04381F7265717565737465642061646472657373206E6F7420617661696C61626C6552120106000400030148020800062401C70AA568FF,303
17,17,2014-03-05,15:22:20,365,+8:00,203.177.109.4,67,203.177.109.21,68,UDP,RX,0201060030130000000080000000000000000000CBB16D040000000012345642490000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501063604CBB16D04381F7265717565737465642061646472657373206E6F7420617661696C61626C6552120106000400030148020800062401C70AA568FF,303
18,18,2014-03-05,15:22:28,359,+8:00,203.177.109.4,67,203.177.109.21,68,UDP,RX,0201060030130000000080000000000000000000CBB16D040000000012345642490000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501063604CBB16D04381F7265717565737465642061646472657373206E6F7420617661696C61626C6552120106000400030148020800062401C70AA568FF,303
19,19,2014-03-05,15:30:2,458,+8:00,0.0.0.0,68,203.177.109.21,67,UDP,RX,01010600F1EF3C3A100600000000000000000000000000000000000000306E9355020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000063825363350101390205AA370401030417FF00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,300
20,20,2014-03-05,15:40:3,47,+8:00,0.0.0.0,68,203.177.109.21,67,UDP,RX,0101060098ED3C3A125F00000000000000000000000000000000000000306E9355020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000063825363350101390205AA370401030417FF00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,300
21,21,2014-03-05,15:50:3,479,+8:00,0.0.0.0,68,203.177.109.21,67,UDP,RX,010106003FEB3C3A14B800000000000000000000000000000000000000306E9355020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000063825363350101390205AA370401030417FF00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,300
