12,    12,    2013-10-31,    15:17:35,    477,    +8:00,    0.0.0.0,    68,    10.11.252.118,    67,    UDP,    RX,    010106004230048D0000000000000000000000000000000000000000F0E77E4FAF1700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501013D0701F0E77E4FAF17390205DC3C0D64686370636420342E302E3135370B01792103060F1C333A3B77FF000000000000000000000000000000,    300
13,    13,    2013-10-31,    15:17:37,    123,    +8:00,    0.0.0.0,    68,    10.11.252.118,    67,    UDP,    RX,    010106007B4DA3A90000000000000000000000000000000000000000D0B33F5648B1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006382536335010332040A0A60B8390205DC3C286468637063642D352E322E31303A4C696E75782D332E302E31333A61726D76376C3A4D54363537370C18616E64726F69642D363464333435353533616637356639373709012103060F1C333A3BFF,    333
14,    14,    2013-10-31,    15:17:38,    341,    +8:00,    0.0.0.0,    68,    10.11.252.118,    67,    UDP,    RX,    0101060063BF6A9B0000000000000000000000000000000000000000D0B33F5648B10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000063825363350101390205DC3C286468637063642D352E322E31303A4C696E75782D332E302E31333A61726D76376C3A4D54363537370C18616E64726F69642D363464333435353533616637356639373709012103060F1C333A3BFF,    327
15,    15,    2013-10-31,    15:17:38,    748,    +8:00,    0.0.0.0,    68,    10.11.252.118,    67,    UDP,    RX,    010106004230048D0003000000000000000000000000000000000000F0E77E4FAF1700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501013D0701F0E77E4FAF17390205DC3C0D64686370636420342E302E3135370B01792103060F1C333A3B77FF000000000000000000000000000000,    300
16,    16,    2013-10-31,    15:17:39,    363,    +8:00,    0.0.0.0,    68,    10.11.252.118,    67,    UDP,    RX,    0101060063BF6A9B0001000000000000000000000000000000000000D0B33F5648B1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006382536335010332040A0BFCCA36040A0BFFFE390205DC3C286468637063642D352E322E31303A4C696E75782D332E302E31333A61726D76376C3A4D54363537370C18616E64726F69642D363464333435353533616637356639373709012103060F1C333A3BFF,    339
17,    17,    2013-10-31,    15:17:40,    400,    +8:00,    10.11.248.196,    68,    10.11.252.118,    67,    UDP,    RX,    010106001E65F12D000000000A0BF8C400000000000000000000000090004E660E1800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501083D070190004E660E180C0E4A656C6C694C757A616E6F2D50433C084D53465420352E30370D010F03062C2E2F1F2179F92BFCFF000000000000,    300
18,    18,    2013-10-31,    15:17:41,    411,    +8:00,    0.0.0.0,    68,    10.11.252.118,    67,    UDP,    RX,    01010600C038B9B1001E000000000000000000000000000000000000D05162EB76A10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000063825363350101390205DC3C2B6468637063642D352E322E31303A4C696E75782D332E302E382B3A61726D76376C3A72696F6772616E64650C18616E64726F69642D366366353562666332393138636539313709012103060F1C333A3BFF,    330
19,    19,    2013-10-31,    15:17:44,    694,    +8:00,    10.11.249.146,    68,    10.11.252.118,    67,    UDP,    RX,    01010600A2AA0C4A000080000A0BF99200000000000000000000000074E5438219DD00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501083D070174E5438219DD0C07557365722D50433C084D53465420352E30370D010F03062C2E2F1F2179F92BFCFF00000000000000000000000000,    300
20,    20,    2013-10-31,    15:17:45,    921,    +8:00,    10.11.251.23,    68,    10.11.252.118,    67,    UDP,    RX,    01010600D78C17DA000080000A0BFB17000000000000000000000000E4D53D4B530900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501083D0701E4D53D4B53090C0972616E3032323831323C084D53465420352E30370D010F03062C2E2F1F2179F92BFCFF0000000000000000000000,    300
21,    21,    2013-10-31,    15:17:49,    398,    +8:00,    10.11.255.12,    68,    10.11.252.118,    67,    UDP,    RX,    01010600B3FF00CD000000000A0BFF0C000000000000000000000000C417FEAFC99100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501083D0701C417FEAFC9910C0879616E6569656C6C3C084D53465420352E30370D010F03062C2E2F1F2179F92BFCFF000000000000000000000000,    300
